
image=images/avatar/male/rapier.png

[stance]
frames=1
duration=1
type=back_forth

[swing]
frames=6
duration=2
type=play_once
frame=0,0,200,40,32,19,39,15
frame=0,1,200,40,32,19,39,15
frame=0,2,200,40,32,19,39,15
frame=0,3,310,39,33,14,23,28
frame=0,4,232,39,32,19,-7,15
frame=0,5,232,39,32,19,-7,15
frame=0,6,232,39,32,19,-7,15
frame=0,7,164,40,36,19,21,14
frame=1,0,466,37,13,8,16,14
frame=1,1,466,37,13,8,16,14
frame=1,2,466,37,13,8,16,14
frame=1,3,264,53,43,5,32,15
frame=1,4,466,45,13,8,-3,14
frame=1,5,466,45,13,8,-3,14
frame=1,6,466,45,13,8,-3,14
frame=1,7,300,32,43,7,34,14
frame=2,0,88,42,38,15,13,23
frame=2,1,88,42,38,15,13,23
frame=2,2,88,42,38,15,13,23
frame=2,3,445,37,21,22,30,24
frame=2,4,126,42,38,15,25,23
frame=2,5,126,42,38,15,25,23
frame=2,6,126,42,38,15,25,23
frame=2,7,300,0,30,32,30,38
frame=3,0,432,0,46,13,22,23
frame=3,1,432,0,46,13,22,23
frame=3,2,432,0,46,13,22,23
frame=3,3,445,26,34,11,43,25
frame=3,4,432,13,46,13,24,23
frame=3,5,432,13,46,13,24,23
frame=3,6,432,13,46,13,24,23
frame=3,7,264,39,46,14,34,21
frame=4,0,330,0,102,26,81,38
frame=4,1,330,0,102,26,81,38
frame=4,2,330,0,102,26,81,38
frame=4,3,138,0,81,40,43,62
frame=4,4,343,26,102,26,21,38
frame=4,5,343,26,102,26,21,38
frame=4,6,343,26,102,26,21,38
frame=4,7,219,0,81,39,43,16
frame=5,0,0,42,44,16,57,37
frame=5,1,0,42,44,16,57,37
frame=5,2,0,42,44,16,57,37
frame=5,3,0,0,69,42,5,59
frame=5,4,44,42,44,16,-13,37
frame=5,5,44,42,44,16,-13,37
frame=5,6,44,42,44,16,-13,37
frame=5,7,69,0,69,42,5,22
