img=images/tilesets/master.png
tile=16,0,0,32,32,16,16
tile=17,32,0,32,32,16,16
tile=18,64,0,32,32,16,16
tile=19,96,0,32,32,16,16
tile=20,128,0,32,32,16,16
tile=21,160,0,32,32,16,16
tile=22,192,0,32,32,16,16
tile=23,224,0,32,32,16,16
tile=24,256,0,32,32,16,16
tile=25,288,0,32,32,16,16
tile=26,320,0,32,32,16,16
tile=27,352,0,32,32,16,16
tile=28,384,0,32,32,16,16
tile=29,416,0,32,32,16,16
tile=30,448,0,32,32,16,16
tile=31,480,0,32,32,16,16
tile=32,512,0,32,32,16,16
tile=33,544,0,32,32,16,16
tile=34,576,0,32,32,16,16
tile=35,608,0,32,32,16,16
tile=36,640,0,32,32,16,16
tile=37,672,0,32,32,16,16
tile=38,704,0,32,32,16,16
tile=39,736,0,32,32,16,16
tile=40,768,0,32,32,16,16
tile=41,800,0,32,32,16,16
tile=42,832,0,32,32,16,16
tile=43,864,0,32,32,16,16
tile=44,896,0,32,32,16,16
tile=45,928,0,32,32,16,16
tile=46,0,32,32,32,16,16
tile=47,32,32,32,32,16,16
tile=48,64,32,32,32,16,16
tile=49,96,32,32,32,16,16
tile=50,128,32,32,32,16,16
tile=51,160,32,32,32,16,16
tile=52,192,32,32,32,16,16
tile=53,224,32,32,32,16,16
tile=54,256,32,32,32,16,16
tile=55,288,32,32,32,16,16
tile=56,320,32,32,32,16,16
tile=57,352,32,32,32,16,16
tile=58,384,32,32,32,16,16
tile=59,416,32,32,32,16,16
tile=60,448,32,32,32,16,16
tile=61,480,32,32,32,16,16
tile=62,512,32,32,32,16,16
tile=63,544,32,32,32,16,16
tile=64,576,32,32,32,16,16
tile=65,608,32,32,32,16,16
tile=66,640,32,32,32,16,16
tile=67,672,32,32,32,16,16
tile=68,704,32,32,32,16,16
tile=69,736,32,32,32,16,16
tile=70,768,32,32,32,16,16
tile=71,800,32,32,32,16,16
tile=72,832,32,32,32,16,16
tile=73,864,32,32,32,16,16
tile=74,896,32,32,32,16,16
tile=75,928,32,32,32,16,16
tile=76,0,64,32,32,16,16
tile=77,32,64,32,32,16,16
tile=78,64,64,32,32,16,16
tile=79,96,64,32,32,16,16
tile=80,128,64,32,32,16,16
tile=81,160,64,32,32,16,16
tile=82,192,64,32,32,16,16
tile=83,224,64,32,32,16,16
tile=84,256,64,32,32,16,16
tile=85,288,64,32,32,16,16
tile=86,320,64,32,32,16,16
tile=87,352,64,32,32,16,16
tile=88,384,64,32,32,16,16
tile=89,416,64,32,32,16,16
tile=90,448,64,32,32,16,16
tile=91,480,64,32,32,16,16
tile=92,512,64,32,32,16,16
tile=93,544,64,32,32,16,16
tile=94,576,64,32,32,16,16
tile=95,608,64,32,32,16,16
tile=96,640,64,32,32,16,16
tile=97,672,64,32,32,16,16
tile=98,704,64,32,32,16,16
tile=99,736,64,32,32,16,16
tile=100,768,64,32,32,16,16
tile=101,800,64,32,32,16,16
tile=102,832,64,32,32,16,16
tile=103,864,64,32,32,16,16
tile=104,896,64,32,32,16,16
tile=105,928,64,32,32,16,16
tile=106,0,96,32,32,16,16
tile=107,32,96,32,32,16,16
tile=108,64,96,32,32,16,16
tile=109,96,96,32,32,16,16
tile=110,128,96,32,32,16,16
tile=111,160,96,32,32,16,16
tile=112,192,96,32,32,16,16
tile=113,224,96,32,32,16,16
tile=114,256,96,32,32,16,16
tile=115,288,96,32,32,16,16
